Date,MMM
2008-12-31,6033.0
2009-01-02,6033.0
2009-01-05,6035.0
2009-01-06,6035.0
2009-01-07,6035.0
2009-01-08,6033.0
2009-01-09,6035.0
2009-01-12,6033.0
2009-01-13,6032.0
2009-01-14,6030.0
2009-01-15,6030.0
2009-01-16,6031.0
2009-01-20,6032.0
2009-01-21,6029.0
2009-01-22,6028.0
2009-01-23,6027.0
2009-01-26,6028.0
2009-01-27,6028.0
2009-01-28,6029.0
2009-01-29,6031.0
2009-01-30,6032.0
2009-02-02,6027.0
2009-02-03,6025.0
2009-02-04,6026.0
2009-02-05,6024.0
2009-02-06,6025.0
2009-02-09,6026.0
2009-02-10,6028.0
2009-02-11,6026.0
2009-02-12,6024.0
2009-02-13,6024.0
2009-02-17,6022.0
2009-02-18,6020.0
2009-02-19,6019.0
2009-02-20,6019.0
2009-02-23,6020.0
2009-02-24,6018.0
2009-02-25,6019.0
2009-02-26,6020.0
2009-02-27,6017.0
2009-03-02,6016.0
2009-03-03,6014.0
2009-03-04,6015.0
2009-03-05,6015.0
2009-03-06,6014.0
2009-03-09,6012.0
2009-03-10,6013.0
2009-03-11,6016.0
2009-03-12,6019.0
2009-03-13,6021.0
2009-03-16,6021.0
2009-03-17,6020.0
2009-03-18,6021.0
2009-03-19,6022.0
2009-03-20,6020.0
2009-03-23,6019.0
2009-03-24,6021.0
2009-03-25,6022.0
2009-03-26,6022.0
2009-03-27,6024.0
2009-03-30,6023.0
2009-03-31,6022.0
2009-04-01,6022.0
2009-04-02,6025.0
2009-04-03,6026.0
2009-04-06,6026.0
2009-04-07,6025.0
2009-04-08,6024.0
2009-04-09,6027.0
2009-04-13,6027.0
2009-04-14,6027.0
2009-04-15,6027.0
2009-04-16,6028.0
2009-04-17,6030.0
2009-04-20,6028.0
2009-04-21,6026.0
2009-04-22,6027.0
2009-04-23,6027.0
2009-04-24,6029.0
2009-04-27,6032.0
2009-04-28,6032.0
2009-04-29,6032.0
2009-04-30,6034.0
2009-05-01,6033.0
2009-05-04,6034.0
2009-05-05,6034.0
2009-05-06,6035.0
2009-05-07,6035.0
2009-05-08,6035.0
2009-05-11,6036.0
2009-05-12,6036.0
2009-05-13,6034.0
2009-05-14,6033.0
2009-05-15,6033.0
2009-05-18,6034.0
2009-05-19,6035.0
2009-05-20,6035.0
2009-05-21,6033.0
2009-05-22,6032.0
2009-05-26,6031.0
2009-05-27,6034.0
2009-05-28,6031.0
2009-05-29,6032.0
2009-06-01,6034.0
2009-06-02,6035.0
2009-06-03,6036.0
2009-06-04,6036.0
2009-06-05,6037.0
2009-06-08,6038.0
2009-06-09,6037.0
2009-06-10,6037.0
2009-06-11,6037.0
2009-06-12,6037.0
2009-06-15,6037.0
2009-06-16,6036.0
2009-06-17,6035.0
2009-06-18,6035.0
2009-06-19,6036.0
2009-06-22,6035.0
2009-06-23,6033.0
2009-06-24,6033.0
2009-06-25,6033.0
2009-06-26,6035.0
2009-06-29,6036.0
2009-06-30,6036.0
2009-07-01,6037.0
2009-07-02,6036.0
2009-07-06,6036.0
2009-07-07,6038.0
2009-07-08,6035.0
2009-07-09,6035.0
2009-07-10,6035.0
2009-07-13,6036.0
2009-07-14,6037.0
2009-07-15,6038.0
2009-07-16,6039.0
2009-07-17,6041.0
2009-07-20,6041.0
2009-07-21,6042.0
2009-07-22,6042.0
2009-07-23,6045.0
2009-07-24,6049.0
2009-07-27,6049.0
2009-07-28,6049.0
2009-07-29,6049.0
2009-07-30,6049.0
2009-07-31,6050.0
2009-08-03,6052.0
2009-08-04,6052.0
2009-08-05,6053.0
2009-08-06,6052.0
2009-08-07,6053.0
2009-08-10,6053.0
2009-08-11,6051.0
2009-08-12,6051.0
2009-08-13,6053.0
2009-08-14,6053.0
2009-08-17,6050.0
2009-08-18,6050.0
2009-08-19,6049.0
2009-08-20,6051.0
2009-08-21,6052.0
2009-08-24,6053.0
2009-08-25,6053.0
2009-08-26,6053.0
2009-08-27,6052.0
2009-08-28,6052.0
2009-08-31,6052.0
2009-09-01,6052.0
2009-09-02,6050.0
2009-09-03,6051.0
2009-09-04,6051.0
2009-09-08,6052.0
2009-09-09,6052.0
2009-09-10,6054.0
2009-09-11,6055.0
2009-09-14,6055.0
2009-09-15,6056.0
2009-09-16,6056.0
2009-09-17,6057.0
2009-09-18,6056.0
2009-09-21,6055.0
2009-09-22,6056.0
2009-09-23,6056.0
2009-09-24,6056.0
2009-09-25,6055.0
2009-09-28,6055.0
2009-09-29,6056.0
2009-09-30,6055.0
2009-10-01,6054.0
2009-10-02,6052.0
2009-10-05,6052.0
2009-10-06,6054.0
2009-10-07,6054.0
2009-10-08,6054.0
2009-10-09,6055.0
2009-10-12,6056.0
2009-10-13,6056.0
2009-10-14,6057.0
2009-10-15,6058.0
2009-10-16,6058.0
2009-10-19,6058.0
2009-10-20,6058.0
2009-10-21,6057.0
2009-10-22,6060.0
2009-10-23,6061.0
2009-10-26,6060.0
2009-10-27,6059.0
2009-10-28,6058.0
2009-10-29,6056.0
2009-10-30,6056.0
2009-11-02,6055.0
2009-11-03,6055.0
2009-11-04,6056.0
2009-11-05,6056.0
2009-11-06,6056.0
2009-11-09,6057.0
2009-11-10,6059.0
2009-11-11,6060.0
2009-11-12,6060.0
2009-11-13,6059.0
2009-11-16,6060.0
2009-11-17,6060.0
2009-11-18,6060.0
2009-11-19,6059.0
2009-11-20,6059.0
2009-11-23,6059.0
2009-11-24,6060.0
2009-11-25,6060.0
2009-11-27,6058.0
2009-11-30,6059.0
