,Cash balance,Unrealized value,Total asset,Rewards,CumReward,Position,Unit
2009-01-05,0.0,0.0,0.0,0.0,0.0,0,0.0
2009-01-06,-0.4,-4.4,-4.800000000000001,-3.8000000000000007,-3.8000000000000007,2,-4.800000000000001
2009-01-07,-0.4,-4.4,-4.800000000000001,1.0,-2.8000000000000007,2,0.0
2009-01-08,-5.0,-0.19999999999999996,-5.2,0.6000000000000005,-2.2,-1,-0.39999999999999947
2009-01-09,-5.2,-6.4,-11.600000000000001,-6.600000000000001,-8.8,-2,-6.400000000000001
2009-01-12,-5.2,-2.4,-7.6,1.0000000000000018,-7.799999999999999,-2,4.000000000000002
2009-01-13,-5.2,-0.3999999999999999,-5.6,1.0,-6.799999999999999,-2,2.0
2009-01-14,-6.0,-8.4,-14.4,-11.8,-18.6,2,-8.8
2009-01-15,-14.8,-4.4,-19.200000000000003,-3.8000000000000025,-22.400000000000006,-2,-4.8000000000000025
2009-01-16,-14.8,-6.4,-21.200000000000003,-2.2000000000000006,-24.600000000000005,-2,-2.0
2009-01-20,-14.8,-8.4,-23.200000000000003,-4.200000000000001,-28.800000000000004,-2,-2.0
2009-01-21,-14.8,-2.4,-17.2,1.0000000000000036,-27.8,-2,6.0000000000000036
2009-01-22,-14.8,-0.3999999999999999,-15.200000000000001,0.9999999999999982,-26.800000000000004,-2,1.9999999999999982
2009-01-23,-14.8,1.6,-13.200000000000001,1.0,-25.800000000000004,-2,2.0
2009-01-26,-14.8,-0.3999999999999999,-15.200000000000001,-1.0,-26.800000000000004,-2,-2.0
2009-01-27,-14.8,-0.3999999999999999,-15.200000000000001,1.0,-25.800000000000004,-2,0.0
2009-01-28,-15.0,-1.2,-16.2,1.887379141862766e-15,-25.8,-1,-0.9999999999999982
2009-01-29,-16.6,-0.3999999999999999,-17.0,0.1999999999999993,-25.6,2,-0.8000000000000007
2009-01-30,-16.6,1.6,-15.000000000000002,0.9999999999999982,-24.6,2,1.9999999999999982
2009-02-02,-16.6,-8.4,-25.0,-12.199999999999998,-36.8,2,-9.999999999999998
2009-02-03,-25.400000000000002,-0.3999999999999999,-25.8,0.1999999999999993,-36.599999999999994,-2,-0.8000000000000007
2009-02-04,-25.400000000000002,-2.4,-27.8,-1.0,-37.599999999999994,-2,-2.0
2009-02-05,-25.400000000000002,1.6,-23.8,1.0,-36.599999999999994,-2,4.0
2009-02-06,-25.400000000000002,-0.3999999999999999,-25.8,-1.0,-37.599999999999994,-2,-2.0
2009-02-09,-25.400000000000002,-2.4,-27.8,-1.0,-38.599999999999994,-2,-2.0
2009-02-10,-25.400000000000002,-6.4,-31.800000000000004,-4.200000000000004,-42.8,-2,-4.0000000000000036
2009-02-11,-25.400000000000002,-2.4,-27.8,1.0000000000000036,-41.8,-2,4.0000000000000036
2009-02-12,-25.400000000000002,1.6,-23.8,1.0,-40.8,-2,4.0
2009-02-13,-25.400000000000002,1.6,-23.8,1.0,-39.8,-2,0.0
2009-02-17,-25.400000000000002,5.6,-19.800000000000004,0.9999999999999969,-38.8,-2,3.9999999999999964
2009-02-18,-25.400000000000002,9.6,-15.800000000000002,1.0000000000000018,-37.8,-2,4.000000000000002
2009-02-19,-25.400000000000002,11.6,-13.800000000000002,1.0,-36.8,-2,2.0
2009-02-20,-25.400000000000002,11.6,-13.800000000000002,1.0,-35.8,-2,0.0
2009-02-23,-25.400000000000002,9.6,-15.800000000000002,-1.0,-36.8,-2,-2.0
2009-02-24,-25.400000000000002,13.6,-11.800000000000002,1.0,-35.8,-2,4.0
2009-02-25,-25.400000000000002,11.6,-13.800000000000002,-1.0,-36.8,-2,-2.0
2009-02-26,-25.400000000000002,9.6,-15.800000000000002,-1.0,-37.8,-2,-2.0
2009-02-27,-25.400000000000002,15.6,-9.800000000000002,1.0,-36.8,-2,6.0
2009-03-02,-25.400000000000002,17.6,-7.800000000000001,1.0,-35.8,-2,2.0000000000000018
2009-03-03,-25.400000000000002,21.6,-3.8000000000000007,1.0,-34.8,-2,4.0
